vertex_index,x,y,z,nx,ny,nz
290,-1.946230,-7.543970,-0.029413,-0.026448,0.024158,-0.999358
291,-5.114670,-4.579830,-0.021489,0.016679,0.019147,-0.999678
292,-5.189130,-4.572570,-0.028828,0.046065,-0.021200,-0.998713
293,-5.142170,-4.513860,-0.028481,0.000067,0.043367,-0.999059
294,-6.410630,-4.434720,2.487510,0.605998,0.585278,-0.538717
295,-6.404180,-4.533110,2.511410,0.914951,-0.149623,-0.374803
296,-6.467570,-4.494140,2.471190,0.203371,0.086931,-0.975235
297,-6.463900,-4.577950,2.471080,0.447281,0.051411,-0.892914
298,-6.287380,-5.404860,0.025307,0.025524,0.045970,0.998617
299,-6.347050,-5.484130,0.027936,0.377909,0.088068,0.921645
300,-6.258060,-5.505530,0.029808,0.010500,0.084407,0.996376
301,-6.247240,-5.442050,2.920880,0.006174,0.004534,-0.999971
302,-6.297780,-5.391970,2.920270,-0.021796,0.013995,-0.999664
303,-6.222110,-5.359400,2.922350,0.009450,-0.007267,-0.999929
304,-6.426790,-4.596430,0.507567,0.998758,-0.019484,0.045864
305,-6.424840,-4.507630,0.542362,0.900555,0.401378,0.167022
306,-6.430940,-4.568820,0.554907,0.999648,-0.015772,0.021342
307,-3.543830,-5.200400,2.216270,0.999989,0.004396,0.001650
308,-3.543770,-5.247190,2.138810,0.999968,0.007994,-0.000768
309,-3.543740,-5.185650,2.154290,0.999816,0.013398,-0.013723
310,-3.541200,-5.263830,2.223390,0.999941,-0.000287,0.010850
311,-6.403310,-4.463070,0.757789,0.877274,0.358853,-0.318771
312,-6.461640,-4.422220,0.732866,0.132105,0.971331,-0.197646
313,-6.388340,-4.408890,0.807601,0.703015,0.704708,-0.095696
314,-3.356890,-3.971880,2.934420,0.809144,0.453770,-0.373336
315,-3.368900,-3.996460,2.970460,0.937064,0.070589,0.341946
316,-3.401730,-4.066750,2.926930,0.689046,-0.262638,-0.675453
317,-6.425760,-6.217060,0.664894,0.997876,0.056555,-0.032339
318,-6.433230,-6.248610,0.602765,0.999079,0.039659,-0.016393
319,-6.426760,-6.137350,0.629449,0.998475,-0.046006,0.030516
320,-5.219670,-5.021650,0.029655,0.043015,0.034838,0.998467
321,-5.895410,-6.900640,2.920280,-0.020480,-0.065235,-0.997660
322,-5.929850,-6.827350,2.921950,-0.005375,-0.000706,-0.999985
323,-5.809380,-6.854600,2.922730,0.033763,0.044701,-0.998430
324,-6.425860,-4.584530,2.891850,0.788659,0.177514,-0.588647
325,-6.396550,-4.535530,2.925700,0.609988,-0.014414,-0.792280
326,-6.351320,-4.567420,2.923520,0.290582,0.066587,-0.954530
327,-6.404640,-4.642680,2.507930,0.879409,0.237614,-0.412527
328,-6.416750,-4.734860,2.482840,0.805419,0.091943,-0.585532
329,-6.489330,-4.671630,2.470350,0.195478,-0.016940,-0.980562
330,-2.718990,-8.336170,-0.023101,-0.031287,0.014025,-0.999412
331,-2.666160,-8.364790,-0.025156,-0.041792,0.023588,-0.998848
332,-2.716950,-8.420630,-0.024350,-0.041792,0.023588,-0.998848
333,-0.823181,-7.042210,1.304340,0.010327,0.999748,-0.019914
334,-0.817132,-7.042500,1.383620,0.050508,0.998716,-0.003949
335,-0.767721,-7.047580,1.349320,0.036316,0.998719,0.035246
336,-5.578600,-3.973340,-0.028869,0.350028,0.072295,-0.933945
337,-5.531840,-4.015070,-0.027774,0.159640,0.248217,-0.955460
