vertex_index,x,y,z,nx,ny,nz
244,-1.185860,0.698777,4.605470,-0.444823,-0.834575,-0.324988
245,-2.657430,2.621470,4.478010,0.734454,0.678518,0.013814
246,-2.650000,2.613650,4.467080,0.694630,0.042967,-0.718083
247,-2.658830,2.623370,4.459120,0.694630,0.042967,-0.718083
248,1.445280,1.654410,4.864920,-0.888320,0.439288,-0.133842
249,1.448260,1.654440,4.845240,-0.613322,-0.325369,-0.719702
250,1.442360,1.645300,4.854400,-0.613322,-0.325369,-0.719702
251,0.720038,2.566700,4.665860,-0.385442,-0.871420,-0.303417
252,0.734795,2.569310,4.666560,0.139113,-0.569219,-0.810332
253,0.734602,2.557020,4.675160,-0.385442,-0.871420,-0.303417
254,0.726225,2.568200,4.678820,-0.669694,-0.630338,0.392662
255,1.038360,2.642000,4.773840,0.025107,-0.999564,-0.015508
256,1.029140,2.641940,4.762780,-0.554716,-0.469829,-0.686696
257,1.040930,2.650140,4.761760,-0.004646,-0.116856,-0.993138
258,-1.939670,2.039410,4.521380,0.681082,-0.205901,-0.702661
259,-1.953590,2.041680,4.522520,-0.176105,-0.775279,-0.606571
260,-1.946560,2.048220,4.512120,0.681082,-0.205901,-0.702661
261,-1.548750,1.543990,4.587320,0.181965,-0.823000,-0.538107
262,-1.554570,1.551190,4.574340,0.181965,-0.823000,-0.538107
263,-1.547960,1.558380,4.585160,0.880249,-0.117339,-0.459776
264,-1.559830,1.554220,4.592530,-0.696773,-0.712497,-0.082801
265,-2.539400,2.448860,4.462370,0.124913,-0.503719,-0.854789
266,-2.525130,2.439960,4.469700,0.124913,-0.503719,-0.854789
267,-2.539310,2.436240,4.469820,0.124913,-0.503719,-0.854789
268,-1.513270,1.740990,4.596430,0.535076,-0.654922,-0.533638
269,-1.523580,1.729780,4.599850,0.535076,-0.654922,-0.533638
270,-1.526890,1.745650,4.597790,-0.151575,-0.158263,-0.975693
271,0.853881,1.645440,4.730150,0.191757,-0.754745,-0.627367
272,0.863666,1.639780,4.739950,0.191757,-0.754745,-0.627367
273,0.854826,1.646550,4.749950,-0.553093,-0.829922,0.072924
274,-2.744000,1.956600,4.456320,0.786807,0.030118,-0.616463
275,-2.743530,1.942070,4.456210,0.786807,0.030118,-0.616463
276,-2.751610,1.948880,4.446230,0.786807,0.030118,-0.616463
277,-2.464650,2.449870,4.458160,0.327677,-0.064874,-0.942560
278,-2.463590,2.449880,4.478070,0.984351,-0.168270,-0.052322
279,-2.472730,2.444210,4.468580,-0.274025,-0.739892,-0.614386
280,-2.744180,2.141670,4.446210,0.383591,-0.776402,-0.500057
281,-2.737690,2.137270,4.458020,0.383591,-0.776402,-0.500057
282,-2.747920,2.143300,4.465780,-0.523937,-0.851255,-0.029227
283,-3.145800,1.947580,4.427080,0.766760,-0.096978,-0.634566
284,-3.145790,1.947240,4.447070,0.703963,0.710140,0.011726
285,-3.138560,1.940240,4.436950,0.766760,-0.096978,-0.634566
286,-2.658600,2.160920,4.465660,0.000598,0.749491,-0.662015
287,-2.644470,2.162110,4.467020,0.815814,0.161774,-0.555226
288,-2.649520,2.153290,4.457030,0.815814,0.161774,-0.555226
289,-3.256420,2.446140,4.424520,0.338950,-0.009489,-0.940756
290,-3.244680,2.455050,4.428660,0.338950,-0.009489,-0.940756
