vertex_index,x,y,z,nx,ny,nz
219,-2.649880,0.554222,4.515630,0.292926,-0.056359,0.954473
220,-2.658120,0.560690,4.505540,-0.653467,0.756161,0.034661
221,-2.452650,1.160910,4.507320,-0.274398,0.950404,0.146417
222,-2.447140,1.152340,4.496580,0.290141,0.072681,-0.954220
223,-2.456040,1.146300,4.507020,-0.744084,-0.653576,0.138483
224,-3.068730,0.579214,4.461350,0.323526,-0.043374,-0.945225
225,-2.438970,0.249498,4.530360,0.415578,-0.906554,-0.073861
226,-2.438750,0.263563,4.531900,0.508828,0.852096,0.122582
227,-2.447420,0.256551,4.540610,-0.452835,-0.064288,0.889274
228,-2.744400,0.251375,4.492800,0.369637,-0.563404,-0.738881
229,-2.740840,0.260970,4.504040,0.835798,0.525612,0.158663
230,-2.745550,0.249093,4.512280,0.109951,-0.695406,0.710156
231,-1.757520,1.347260,4.567260,0.219527,0.085197,0.971879
232,-1.761760,1.338620,4.556640,-0.236899,-0.971235,-0.024090
233,-1.754680,1.347050,4.547470,0.484215,0.065627,-0.872485
234,-3.041080,0.042161,4.480300,0.900972,-0.392196,-0.185557
235,-3.053230,0.042017,4.489270,-0.276924,-0.513671,0.812069
236,-3.054470,0.045677,4.474940,-0.438140,-0.089787,-0.894411
237,-3.207400,0.857262,4.455670,-0.546040,-0.015628,0.837613
238,-3.197610,0.865190,4.447120,0.450034,0.891457,0.052659
239,-3.205210,0.857288,4.436550,-0.342174,-0.013201,-0.939544
240,-2.748080,0.055588,4.518820,0.290782,-0.260029,0.920777
241,-2.756260,0.052570,4.507570,-0.646640,-0.742541,-0.174615
242,-2.746780,0.059075,4.499170,0.411565,0.064810,-0.909073
243,-2.937260,0.052607,4.486680,0.939801,-0.339571,0.038285
244,-2.945860,0.059719,4.496220,-0.079547,0.399798,0.913145
245,-2.951450,0.051191,4.486240,-0.837031,-0.546916,-0.016177
246,-2.975830,0.740788,4.462480,0.373250,-0.014644,-0.927615
247,-2.984910,0.734503,4.472090,-0.616280,-0.786005,-0.048932
248,-2.981830,0.748447,4.472970,-0.253749,0.965305,0.061630
249,-2.975800,0.739522,4.482390,0.376012,-0.131943,0.917173
250,-2.754580,0.255705,4.502610,-0.211907,-0.968853,-0.128135
251,-2.780620,0.261538,4.501570,-0.811133,-0.526321,0.255048
252,-2.777280,0.270796,4.487820,-0.408873,0.302243,-0.861088
253,-3.141830,0.741468,4.457220,0.433027,-0.881875,-0.186505
254,-3.140090,0.757100,4.457020,0.616001,0.759899,-0.207595
255,-3.147640,0.750169,4.467910,-0.185761,0.033342,0.982029
256,-3.152530,1.157400,4.464860,0.217465,0.154234,0.963805
257,-3.156220,1.145770,4.453630,-0.142669,-0.980906,-0.132167
258,-3.147180,1.159550,4.448620,0.716569,0.352728,-0.601757
259,-2.544450,1.156820,4.501200,0.184678,0.922870,-0.337943
260,-2.536580,1.151550,4.513210,0.430202,0.156331,0.889093
261,-2.532460,1.150560,4.494040,0.599705,0.034757,-0.799466
262,-2.995090,0.376009,4.488480,-0.803948,-0.255306,-0.537109
263,-2.981290,0.365240,4.486520,0.411297,-0.747796,-0.521187
264,-2.986520,0.370206,4.501170,0.022087,-0.534444,0.844915
265,-2.980090,0.380311,4.491310,0.895636,0.221265,-0.385846
266,-2.969020,0.673447,4.465500,0.172541,-0.384964,-0.906660
267,-2.979390,0.679287,4.474960,-0.980428,0.192179,-0.042748
268,-2.965560,0.682998,4.475610,0.703571,0.709667,0.036879
269,-2.651700,0.061458,4.513440,-0.180232,-0.968609,-0.171211
270,-1.761430,1.237580,4.558540,-0.920012,-0.329671,-0.211882
271,-1.748110,1.248860,4.553830,0.370911,0.707578,-0.601463
272,-1.746940,1.235400,4.559620,0.695813,-0.705947,-0.132221
273,-1.563190,1.151680,4.575340,0.187157,-0.266474,-0.945497
274,-1.556030,1.156120,4.589360,0.888278,0.168298,0.427362
275,-1.571010,1.147120,4.590320,-0.547952,-0.675242,0.493758
276,-2.972930,0.945144,4.459470,0.076032,0.253993,-0.964213
277,-2.968210,0.949260,4.476250,0.487748,0.591322,0.642215
278,-2.970130,0.935433,4.470620,0.434866,-0.879545,0.193111
279,-3.152320,0.665304,4.461530,-0.608407,0.767307,-0.202684
280,-3.146370,0.655686,4.473310,-0.034511,-0.171397,0.984597
281,-3.137270,0.659913,4.460420,0.906100,0.262825,-0.331520
282,-3.148540,0.648671,4.459130,-0.248218,-0.860630,-0.444639
283,-3.145480,0.041125,4.480980,-0.301434,0.093518,0.948890
284,-3.150270,0.036682,4.465400,-0.762739,-0.334724,-0.553344
285,-3.136630,0.034957,4.470870,0.739878,-0.671820,-0.035181
286,-3.155470,0.272975,4.469900,-0.879481,0.256092,0.401160
287,-3.139220,0.276866,4.470070,0.687248,0.608170,0.397266
288,-3.146790,0.271116,4.456320,-0.024988,0.077322,-0.996693
289,-2.266390,2.245800,4.490070,0.690605,0.572725,0.441647
290,-2.280300,2.243720,4.486910,-0.824210,0.527019,0.207192
291,-2.277490,2.229580,4.487160,-0.335234,-0.926182,0.172644
292,-2.270450,2.238630,4.477700,0.407169,-0.116160,-0.905936
293,-3.044320,0.955849,4.461790,0.310974,0.747798,-0.586594
294,-3.042450,0.942453,4.467060,0.694649,-0.705127,-0.142333
295,-3.056960,0.942426,4.466590,-0.857916,-0.493607,-0.142593
296,-1.749430,2.342480,4.528720,0.276015,0.927437,-0.252341
297,-1.759430,2.332190,4.523800,-0.717301,-0.236932,-0.655243
298,-1.753930,2.335320,4.541310,-0.204561,0.054882,0.977314
